Название,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Параллельное и конкурентное программирование на Haskell,Марлоу Саймон,ДМК-Пресс:Функциональное программирование,1117,2233,50,На складе
Практическое использование Common Lisp,Сайбель Питер,ДМК-Пресс:Функциональное программирование,1814,3628,50,На складе
Сбор данных в Интернете на языке R,Храмов Дмитрий Александрович,ДМК-Пресс,1186,2372,50,На складе
Unity 5.x. Программирование искусственного интеллекта в играх,Паласиос Хорхе,ДМК-Пресс,1257,2513,50,На складе
Программирование микроконтроллеров. Стратегия и тактика,Матюшин Андрей Олегович,ДМК-Пресс,1535,3069,50,На складе
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails,Хартл Майкл,ДМК-Пресс,1814,3628,50,На складе
Программирование и отладка С/С++ приложений для микроконтроллеров ARM,Магда Юрий Степанович,ДМК-Пресс,628,1256,50,На складе
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ,Мэйерс Скотт,ДМК-Пресс:Профессиональная серия от Addison-Wesley,977,1953,50,На складе
"Assembler. Для DOS, Windows и Unix",Зубков Сергей Владимирович,ДМК-Пресс:Для программистов,1397,2793,50,На складе
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс:Функциональное программирование,837,1674,50,На складе
Системная инженерия. Принципы и практика,Косяков Александр и др.,ДМК-Пресс,1954,3908,50,На складе
Оптимизация приложений на платформе .Net,Голдштейн Саша и др.,ДМК-Пресс,1818,3636,50,На складе
Интерфейс. Основы проектирования взаимодействия,Купер Алан и др.,Питер:Для профессионалов,2266,2905,22,На складе
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век:Программируемые системы,1117,2233,50,На складе
Практическое использование Vim. Редактируйте текст со скоростью мысли,Нейл Дрю,ДМК-Пресс,1257,2513,50,На складе
Анализ сетей (графов) в среде R. Руководство пользователя,Люк Дуглас А.,ДМК-Пресс,1465,2930,50,На складе
Основы проектирования в Autodesk Inventor 2016,Зиновьев Дмитрий Валериевич,ДМК-Пресс,558,1115,50,На складе
Bootstrap в примерах,Морето Сильвио,ДМК-Пресс,977,1953,50,На складе
