Название,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Программирование на языке Си. Учебное пособие для вузов,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,4151,Цена без скидки не указана,Скидка отсутствует,На складе
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения,Матросов Александр и др.,ДМК-Пресс,2918,5306,45,На складе
Профессиональный бенчмарк. Искусство измерения производительности,Акиньшин Андрей,Питер:Библиотека программиста,2836,3636,22,На складе
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер:Библиотека программиста,2255,2891,22,На складе
Основы построения экономических моделей в Excel. Учебник для СПО,"Воскобойников Юрий Евгеньевич, Мухина Ирина Николаевна",Лань:Компьютеры и программное обеспечение,2404,Цена без скидки не указана,Скидка отсутствует,Ограничено
Программирование на языке Си.Учебное пособие для СПО,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,3932,Цена без скидки не указана,Скидка отсутствует,Ограничено
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2842,Цена без скидки не указана,Скидка отсутствует,Ограничено
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2842,Цена без скидки не указана,Скидка отсутствует,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,3041,Цена без скидки не указана,Скидка отсутствует,На складе
Svelte и Sapper в действии,Волкманн Марк,Питер:Для профессионалов,4197,5381,22,Ограничено
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин Вячеслав Николаевич, Сахнов Константин Сергеевич",Бомбора:Российский компьютерный бестселлер,1013,1388,27,На складе
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1765,3209,45,На складе
Структуры данных в Python. Начальный курс,Шихи Дональд Р.,ДМК-Пресс,1382,2513,45,На складе
Большая книга проектов Python,Свейгарт Эл,Питер,1688,2164,22,На складе
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1404,1800,22,На складе
Отзывчивый дизайн на HTML5 и CSS3 для любых устройств,Фрэйн Бен,Питер,2268,2908,22,На складе
Глубокое обучение с подкреплением. Теория и практика на языке Python,"Грессер Лаура, Кенг Ван Лун",Питер:Библиотека программиста,2540,3256,22,На складе
Искусство WebAssembly. Создание безопасных межплатформенных высокопроизводительных приложений,Баттальини Рик,ДМК-Пресс,1536,2793,45,На складе
Микросервисы Spring в действии,"Карнелл Джон, Санчес Иллари Уайлупо",ДМК-Пресс,2764,5026,45,На складе
Осваиваем архитектуру Transformer. Разработка современных моделей с помощью передовых методов,"Йылдырым Саваш, Асгари-Ченаглу Мейсам",ДМК-Пресс,2303,4187,45,На складе
Основы юзабилити-тестирования,Барнум Кэрол М.,ДМК-Пресс,2764,5026,45,На складе
Творческие проекты с микроконтроллером в среде TinyGo и WebAssembly,Тил Тобиас,ДМК-Пресс,1688,3069,45,На складе
Программирование на Python. Первые шаги,Щерба Анастасия Владимировна,Лаборатория знаний:Школа юного программиста,763,1387,45,На складе
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов,Цирулик Владимир Григорьевич,Лань:Компьютеры и программное обеспечение,4170,Цена без скидки не указана,Скидка отсутствует,На складе
Практический анализ двоичных файлов,Эндриесс Дэннис,ДМК-Пресс,2610,4746,45,На складе
Изучаем C# через разработку игр на Unity,Ферроне Харрисон,Питер:Библиотека программиста,1830,2346,22,На складе
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие,Коренская Ирина Николаевна,Лань:Компьютеры и программное обеспечение,1647,Цена без скидки не указана,Скидка отсутствует,На складе
Исследование операций. Том 1. Линейное программирование. Учебник для вузов,Трушков Александр Сергеевич,Лань:Компьютеры и программное обеспечение,3059,Цена без скидки не указана,Скидка отсутствует,На складе
Как программировать на С,"Дейтел Харви, Дейтел Пол Дж.",Бином,1589,2889,45,На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1407,1928,27,На складе
Apache Airflow и конвейеры обработки данных,"Харенслак Бас, Руйтер Джулиан де",ДМК-Пресс,2918,5306,45,На складе
Python для всех,Северанс Чарльз Р.,ДМК-Пресс,1074,1953,45,На складе
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,"Мурсаев Александр Хафизович, Буренева Ольга Игоревна",Лань:Учебники для вузов. Специальная литература,1406,Цена без скидки не указана,Скидка отсутствует,Ограничено
Использование языка Python в теории вероятности. Учебник,Криволапов Сергей Яковлевич,Прометей,1626,2957,45,На складе
Экономика на Python. Учебник,"Хрипунова Марина Борисовна, Губернаторов Алексей Михайлович",Прометей,1183,2151,45,На складе
Black Hat Python. Программирование для хакеров и пентестеров,"Зейтц Джастин, Арнольд Тим",Питер:Библиотека программиста,1688,2164,22,На складе
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора:Мировой компьютерный бестселлер,1219,1670,27,На складе
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1459,2652,45,На складе
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,3746,6810,45,На складе
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Вильямс,7392,13440,45,Ограничено
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,185,336,45,Ограничено
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1688,3069,45,На складе
